       0                  Team                   Name          Gp   Min     Ppg     FGM     FGA     FG%     FTM     FTA     FT%    3pt Made 3pt Att   3pt%   O Reb    Reb     Ast      PF     STL      TO     BLK      TF
       30         New Jersey Americans        Bob McAdoo       48   30.5    14.4    5.6     11.2    .497    2.9     3.9     .751     0.3      1.5     .216    1.9     8.9     1.9     3.8      1       2      1.2      0
       30         New Jersey Americans       Tim Hardaway      48    9      4.1     1.5     3.6     .410    0.7     0.8     .850     0.5      1.4     .343    0.2     0.9      2      0.7     0.5     0.8      0       0
       30         New Jersey Americans       Isaiah Thomas     54   27.4    17.4    5.9     12.5    .473    4.4     5.1     .859     1.1      3.1     .361    0.7     2.6     5.5      2      1.1     2.1     0.1      0
       30         New Jersey Americans        Andrew Gaze      54   14.2    8.1     2.4      5      .474    2.5     2.8     .882     0.8      2.4     .349    0.3     1.5     2.1     1.8     0.7     1.1     0.1      0
       30         New Jersey Americans       Neil Johnston     53   29.1    13.7     5      9.6     .524    3.5     4.1     .866     0.1      0.5     .200    2.1     7.6     2.9      4      0.9     1.5     1.7      0
       30         New Jersey Americans      Truck Robinson     39   11.8    5.3     1.8     4.5     .407    1.6     2.4     .660      0       0.1     .000    0.9      4      0.6      1      0.2     0.6     0.2      0
       30         New Jersey Americans        Dwyane Wade      47   26.7    14.5    5.8      12     .479    2.9     3.7     .797      0       0.2     .111     1      3.4     4.3     1.8     1.4     2.4     0.7      0
       30         New Jersey Americans     Terry Dischinger    54   30.1    13.5    4.6     9.4     .486    3.8     4.8     .802     0.6      1.9     .314    1.5     5.1     2.4     3.5     1.3     1.2     0.8      0
       30         New Jersey Americans        Mark Davis       54   21.5    9.5     3.5     6.4     .552    2.4     3.2     .741      0       0.3     .133    1.9     6.5     1.1     2.5     0.3     1.2     0.5      0
       30         New Jersey Americans      Hakeem Olajuwon    54   10.2    4.7     1.7     3.7     .460    1.3     1.7     .772      0        0      .000    0.9      3      1.2     1.3     0.4     0.9     0.6      0
       30         New Jersey Americans      Pooh Richardson    6     11     3.3     1.7     3.5     .476     0      0.5     .000      0       0.7     .000    0.3     1.3     2.3     0.7     0.3     1.3      0       0
       30         New Jersey Americans       George Gervin     47   7.6     3.9     1.6     3.5     .445    0.7     0.9     .805     0.1      0.3     .214    0.2     0.7     0.6     0.7     0.2     0.4      0       0
       30         New Jersey Americans     Jonas Valanciunas   1     12      12      5       9      .556     2       2     1.000      0        0      .000     1       2       0       2       0       0       0       0
       30         New Jersey Americans          Totals         54  240.4   120.9    42.8    88.9    .482    30.9    38.2    .809     4.3      14.3    .300    11.9    44.9    28.3    24.5    8.9     17.2     6       0
       30         New Jersey Americans          DTotals        54  240.4   120.5    46.6    94.9    .491    21.6    27.9    .775     5.8      15.9    .363    13.6    46.8    30.5    29.7    8.9     17.4    5.8      0
       30                 Team                   Name          Gp   Min     FGM     FGA     FG%     FTM     FTA     FT%   3pt Made 3pt Att    3pt%   O Reb    Reb     Ast      PF     STL      TO     BLK      TF      ?
       31              Free Agents               Open          0     0               0       0      .000     0       0      .000      0        0      .000     0       0       0       0       0       0       0       0
       31              Free Agents               Open          0     0               0       0      .000     0       0      .000      0        0      .000     0       0       0       0       0       0       0       0
       31              Free Agents               Open          0     0               0       0      .000     0       0      .000      0        0      .000     0       0       0       0       0       0       0       0
       31              Free Agents               Open          0     0               0       0      .000     0       0      .000      0        0      .000     0       0       0       0       0       0       0       0
       31              Free Agents               Open          0     0               0       0      .000     0       0      .000      0        0      .000     0       0       0       0       0       0       0       0
       31              Free Agents               Open          0     0               0       0      .000     0       0      .000      0        0      .000     0       0       0       0       0       0       0       0
       31              Free Agents               Open          0     0               0       0      .000     0       0      .000      0        0      .000     0       0       0       0       0       0       0       0
       31              Free Agents               Open          0     0               0       0      .000     0       0      .000      0        0      .000     0       0       0       0       0       0       0       0
       31              Free Agents               Open          0     0               0       0      .000     0       0      .000      0        0      .000     0       0       0       0       0       0       0       0
       31              Free Agents               Open          0     0               0       0      .000     0       0      .000      0        0      .000     0       0       0       0       0       0       0       0
       31              Free Agents               Open          0     0               0       0      .000     0       0      .000      0        0      .000     0       0       0       0       0       0       0       0
       31              Free Agents               Open          0     0               0       0      .000     0       0      .000      0        0      .000     0       0       0       0       0       0       0       0
       31              Free Agents               Open          0     0               0       0      .000     0       0      .000      0        0      .000     0       0       0       0       0       0       0       0
       31              Free Agents               Open          0     0               0       0      .000     0       0      .000      0        0      .000     0       0       0       0       0       0       0       0
       31              Free Agents               Open          0     0               0       0      .000     0       0      .000      0        0      .000     0       0       0       0       0       0       0       0
       31              Free Agents               Open          0     0               0       0      .000     0       0      .000      0        0      .000     0       0       0       0       0       0       0       0
       31              Free Agents               Open          0     0               0       0      .000     0       0      .000      0        0      .000     0       0       0       0       0       0       0       0
       31              Free Agents               Open          0     0               0       0      .000     0       0      .000      0        0      .000     0       0       0       0       0       0       0       0
       31              Free Agents               Open          0     0               0       0      .000     0       0      .000      0        0      .000     0       0       0       0       0       0       0       0
       31              Free Agents               Open          0     0               0       0      .000     0       0      .000      0        0      .000     0       0       0       0       0       0       0       0
       31              Free Agents               Open          0     0               0       0      .000     0       0      .000      0        0      .000     0       0       0       0       0       0       0       0
       31              Free Agents               Open          0     0               0       0      .000     0       0      .000      0        0      .000     0       0       0       0       0       0       0       0
       31              Free Agents               Open          0     0               0       0      .000     0       0      .000      0        0      .000     0       0       0       0       0       0       0       0
       31              Free Agents               Open          0     0               0       0      .000     0       0      .000      0        0      .000     0       0       0       0       0       0       0       0
       31              Free Agents               Open          0     0               0       0      .000     0       0      .000      0        0      .000     0       0       0       0       0       0       0       0
       31              Free Agents               Open          0     0               0       0      .000     0       0      .000      0        0      .000     0       0       0       0       0       0       0       0
       31              Free Agents               Open          0     0               0       0      .000     0       0      .000      0        0      .000     0       0       0       0       0       0       0       0
       31              Free Agents               Open          0     0               0       0      .000     0       0      .000      0        0      .000     0       0       0       0       0       0       0       0
       31              Free Agents               Open          0     0               0       0      .000     0       0      .000      0        0      .000     0       0       0       0       0       0       0       0
       31              Free Agents               Open          0     0               0       0      .000     0       0      .000      0        0      .000     0       0       0       0       0       0       0       0
       31              Free Agents               Open          0     0               0       0      .000     0       0      .000      0        0      .000     0       0       0       0       0       0       0       0
       31              Free Agents               Open          0     0               0       0      .000     0       0      .000      0        0      .000     0       0       0       0       0       0       0       0
       31              Free Agents               Open          0     0               0       0      .000     0       0      .000      0        0      .000     0       0       0       0       0       0       0       0
       31              Free Agents               Open          0     0               0       0      .000     0       0      .000      0        0      .000     0       0       0       0       0       0       0       0
       31              Free Agents               Open          0     0               0       0      .000     0       0      .000      0        0      .000     0       0       0       0       0       0       0       0
       31              Free Agents               Open          0     0               0       0      .000     0       0      .000      0        0      .000     0       0       0       0       0       0       0       0
       31              Free Agents               Open          0     0               0       0      .000     0       0      .000      0        0      .000     0       0       0       0       0       0       0       0
       31              Free Agents               Open          0     0               0       0      .000     0       0      .000      0        0      .000     0       0       0       0       0       0       0       0
